,Unnamed: 0,Job Role,Company,Job_Description,id
197,197,engineer i,american express,"you lead the way weve got your back

with the right backing people and businesses have the power to progress in incredible ways when you join team amex you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers communities and each other here youll learn and grow as we help you create a career journey thats unique and meaningful to you with benefits programs and flexibility that support you personally and professionally

at american express youll be recognized for your contributions leadership and impactevery colleague has the opportunity to share in the companys success together well win as a team striving to uphold our company values and powerful backing promise to provide the worlds best customer experience every day and well do it with the utmost integrity and in an environment where everyone is seen heard and feels like they belong

join team amex and lets lead the way together

as part of our diverse tech team you can architect code and ship software that makes us an essential part of our customers digital lives here you can work alongside talented engineers in an open supportive inclusive environment where your voice is valued and you make your own decisions on what tech to use to solve challenging problems amex offers a range of opportunities to work with the latest technologies and encourages you to back the broader engineering community through open source and because we understand the importance of keeping your skills fresh and relevant we give you dedicated time to invest in your professional development find your place in technology on teamamex

from building nextgeneration apps and microservices in kotlin to using ai to help protect our customers from fraud you could be doing transformational work that brings our iconic global brand into the future as a part of our tech team we could work together to bring groundbreaking and diverse ideas to life that power the digital systems services products and platforms that millions of customers around the world depend on if you love to work with apis contribute to open source or use the latest technologies well support you with an open environment and learning culture to grow your career

you wont just shape the world of software youll shape the world of life work and play

our software engineers not only understand how technology works but how that technology intersects with the people who count on it every day today innovative ideas insight and new perspectives are at the core of how we create a more powerful personal and fulfilling experience for all our customers so if youre interested in a career creating breakthrough software and making an impact on an audience of millions look no further you wont just keep up youll break new ground there are hundreds of opportunities to make your mark on technology and life at american express heres just some of what youll be doing  taking your place as a core member of an agile team driving the latest development practices  writing code and unit tests working with api specs and automation  identifying opportunities for adopting new technologies

focus

designs develops solves problems debugs evaluates modifies deploys and documents software and systems that meet the needs of customerfacing applications business applications andor internal end user applications

organizational context

member of a product engineering or delivery and integration team reporting to a senior engineer engineering director or director product delivery  integration

responsibilities

develops and tests software including ongoing refactoring of code  drives continuous improvement in code structure  qualitycollaborate with product management and engineering to define and implement innovative solutions for the product direction visuals and experienceprimary focus is spent writing code api specs conducting code reviews  testing in ongoing sprints or doing proof of conceptsautomation toolsfunctions as a core member of an agile team driving user story analysis  elaboration design and development of software applications testing  builds automation toolsworks on a specific platformproduct or as part of a dynamic resource pool assigned to projects based on demand and business priorityidentifies opportunities to adopt innovative technologiesworking knowledge of unix linux postman will be advantageousworking knowledge of cicd toolsconduct user research and evaluate user feedbackconceptualize original ideas that bring simplicity and user friendliness to complex design roadblockspresent and defend designs and key milestone deliverables to peers and executive level stakeholdersembodies growth mentality by looking beyond the obvious for continuous improvement opportunitiesdesigns codes tests maintains and documents applicationstakes part in reviews of own work and reviews of colleagues workdefines test conditions based on the requirements and specifications providedhas deep understanding of the core tools used in the planning analyzing crafting building testing configuring and maintaining of assigned applicationsintermediate knowledge of infrastructure technologies and componentprovides advanced knowledge of technical and functional principleseffectively leverages general knowledge of the relationships that exist between all relevant functional groups within american expressshould have experience in analysis design development testing and implementation of system applicationsdemonstrated ability to develop and document technical and functional specifications and analyze software and system processing flowscreative problem solving innovative

education  experience

bachelors degree in engineering or computer science or equivalent or masters in computer applications or equivalent4 to 7 years of experience is required familiar with agile or other rapid application development methodsexperience with design and coding across one or more platforms and languages as appropriatetech stack  programming language for this role  java kotlinhandson expertise with application design software development and automated testingexperience with distributed multitiered systems algorithms and relational databasesconfirmed experience with objectoriented design and coding with variety of languagesparticipate in code reviews and automated testing

technicalplatforms

backend programming languages using core javaable to understand and use complex data structures and associated componentstech stack  programming language for this role  java kotlinworking knowledge of unix linux postman will be neededexpert on core javarest apisworking knowledge of cicdunderstanding of serverside languages jade ejs jinja etcsource control git svn bitbucket svn stack overflow etccontinuous integration jenkins bambocontainer concepts lxd dockerorchestration kubernetes mesos swarm

behavioral

teamwork  ability to multitask excellent communication skillsexcellent technical and analytical aptitudeability to influence and lead othersselfstarter with a curiosity and appetite for new technologyresults drivenwillingness to understand the business and participate in discussions around project requirements

functional

strong analytical  strategic thinking skillsability to interpret technical business objectives and challengesportingsoftware configurationagile methodologiessoftware developmentknowledge of opensource frameworks and librariesgood understanding of networking protocols and stacks

leadership

demonstrate increased selfreliance to achieve team goalsinfluence team members with creative changes and improvements by challenging status quo and demonstrating risk taking

we back our colleagues and their loved ones with benefits and programs that support their holistic wellbeing that means we prioritize their physical financial and mental health through each stage of life benefits include

competitive base salaries bonus incentives support for financialwellbeing and retirement comprehensive medical dental vision life insurance and disability benefits depending on location flexible working model with hybrid onsite or virtual arrangements depending on role and business need generous paid parental leave policies depending on your location free access to global onsite wellness centers staffed with nurses and doctors depending on location free and confidential counseling support through our healthy minds program career development and training opportunities

american express is an equal opportunity employer and makes employment decisions without regard to race color religion sex sexual orientation gender identity national origin veteran status disability status age or any other status protected by law

offer of employment with american express is conditioned upon the successful completion of a background verification check subject to applicable laws and regulations",197
198,198,data scientist,neerinfo solutions,"job description principal data scientistare you a passionate and experienced data scientist who can lead complex projects and deliver innovative solutions for our clients if so we want you to join our team as a principal data scientistlevel leadershiplocation hyderabadbengalurupunechennai
roleas a principal data scientist you will be responsible for designing developing and implementing datadriven solutions that address business challenges and opportunities across various domains and industriesyou will work closely with clients stakeholders and other data scientists to understand the business context define the problem statement and propose the best data science approach to solve ityou will leverage your expertise in data engineering data analysis machine learning artificial intelligence and visualization to deliver endtoend solutions that are scalable robust and impactfulyou will be expected to manage a portfolio of accounts and grow the portfolio while adding new capabilities in the teamyou will also mentor and coach junior data scientists share best practices and contribute to the development of our data science capabilities and offerings
business expertiseyou have at least 10 years of relevant experience in data science preferably in consulting or clientfacing rolesyou have a strong understanding of the business drivers challenges and opportunities in one or more of the following industries financial services insurance manufacturing or retailyou have demonstrated the ability to translate business problems into data science solutions communicate effectively with various stakeholders and deliver valueadded outcomesyou have a proven track record of leading and managing complex data science projects from scoping and planning to execution and delivery
industry knowledgeyou have a deep knowledge of the data sources methods and tools relevant to your industry of expertiseyou have a keen awareness of the latest trends developments and innovations in your industry and how they can be leveraged for data science applicationsyou have a strong network of contacts and relationships in your industry and can leverage them to generate new business opportunities and insightsyou have a solid understanding of the regulatory ethical and legal aspects of data science in your industry and how to ensure compliance and trustdeep knowledge of business processes and process transformation using levers like operations analytics
technology skillsyou have a masters degree or phd in a quantitative field such as computer science statistics mathematics engineering or physicsyou have a high proficiency in programming languages such as python r sql and scala and frameworks such as tensorflow pytorch spark and hadoopyou have a broad and deep knowledge of modern data skills such as data engineering data analysis machine learning artificial intelligence and visualizationyou have experience in applying various data science techniques such as supervised and unsupervised learning natural language processing computer vision deep learning reinforcement learning and optimizationyou have experience in developing and deploying data science solutions on cloud platforms such as aws azure or google cloud and using tools such as docker kubernetes and git
resultsyou have a strong focus on delivering highquality and actionable results that meet or exceed the expectations of the clients and stakeholdersyou have a clear and concise way of presenting and visualizing your results using appropriate metrics charts dashboards and reportsyou have a rigorous and systematic way of evaluating and validating your results using appropriate methods tests and benchmarksyou have a continuous and proactive way of improving and optimizing your results using feedback experimentation and innovation",198
199,199,media manager,hm,"job description

as media manager for india you contribute to added customer value a strong brand and increased sales by driving the regional media strategy and tactics  working towards aligned and crossfunctional goals driving omni sales performance and customer centricity in all parts of your work you are responsible for driving the global media strategy from a regional perspective based on regional insights you set regional budget tactics  media agency relationships to drive customer brand and sales goals with emphasis on digital growth being an exceptional leader you lead manage and organize a team of regional specialists as well as local media specialists according to hm values standards and policies in collaboration with the global hm media  operational teams 

you have strong commercial focus and are insight and data driven with proven ability to drive results and work towards goals being and experienced manager in leading media and operational teams you have a proven track record of achieving both shortterm and longterm results you manage your teams through an insight driven approach with high strategic and operational competence in all channels and touchpoints bringing others onboard through an inspiring clear inclusive ambitious and pragmatic approach you are leader that strives to strengthen team and foster collaboration across channels roles and functions empowering strong collaboration and alignment between channels  teams to become more customer focused

key responsibilities

you are responsible supporting the team on executing the regional media directions based on global media strategy and regional local customer and media insights secure omni channel sync and alignment of all customer communication touchpoints within media to ensure excellence execution as well as ensuring media coms plans are in line with customer goals audiences and media channel guidelines drive and follow up on media budget investments as well as signing off project assignments following up ensuring project deliverables are met timely you are responsible for leading complex projects ranging from region to sales market level supporting teams in a cross collaboration keeping a balanced workload consistently improving processes and delivering on brand excellence securing customer growth and retention you grow and protect the hm brand in the market by identifying and informing on customer growth potential as well as knowing the customers in your markets and sharing relevant insights and deliverables on the customer plan


please click here for complete role description

qualifications

to be successful in the role as media manager you should have strong commercial focus and are insight and data driven with proven ability to drive results and work towards goals you should have a broad customer activation knowledge and commercial experience that understands the total picture from customer demands on our brand

what you need to succeed

marketing communications or business degreerelevant qualifications strong strategic thinker with broad marketing skills with deep knowledge in how you build and grow a brand and customer base using traditional and digital media channels strategic and operative marketing experience as well as media and communications setting and managing large media budgets and collaborated with media agencies experienced working in an international environment managing teams across complex set up multiple location and is familiar with digital  tech and omni ways of working effective collaborator with strong stakeholder management and communication skills


please click here for complete role description

additional information

this is a fulltime position reporting to the strategy  planning manager for india

this position is based at the support office in bangalore karnataka india

apply by sending in your cv in english as soon as possible but no later than may 30 2024 due to data policies we only accept applications through career page

global benefits

we offer all our employees at hm group attractive benefits with extensive development opportunities around the globe all our employees receive a staff discount card usable on all our hm group brands in stores and online brands covered by the discount are hm beauty and move included cos weekday monki hm home  other stories arket afound in addition to our staff discount all our employees are included in our hm incentive program  hip you can read more about our hm incentive program here

in addition to our global benefits all our local markets offer different competitive perks and benefits please note that they may differ between employment type and countries

inclusion  diversity

hm is a part of hm group at hm group were determined to create and maintain inclusive diverse and equitable workplaces throughout our organisation our teams should consist of a variety of people that share and combine their knowledge experience and ideas having a diverse workforce leads to a positive impact on how we address challenges on what we perceive possible and on how we choose to relate to our colleagues and customers all over the world hence all diversity dimensions are taken into consideration in our recruitment process

we strive to have a fair and equal process and therefore kindly ask you not to attach a cover letter in your application as they often contain information that easily can trigger unintentional biases

company description

hm is a fashion brand that offers the latest styles and inspiration from fashion pieces and unique designer collaborations to affordable wardrobe essentials our business idea is fashion  quality at the best price in a sustainable way learn more about hm here",199
201,201,associate data engineer,tech mahindra,"hiring for associate data engineer experience 2 yrs 4 yrsjob location bangalore  pune  hyderabad
must have skills2 yrs of strong expertise in python for data engineering tasks etlelt2 yrs of strong expertise in pyspark for data processing and transformation2 yrs of experience with big data tools is desirable spark sparkstreaming kafka debezium etchave good experience of data streaming and real time data processinganalytic skills related to working with structured and unstructured datasetsexperience of working with cloud data platform and servicesconduct code reviews maintain code quality and ensure best practices are followeddebug and upgrade existing systems
desirable skillswith azure cloud services and resources is a plusexperience or knowledge of c java scalaof ml engineering and ml ops certifications in data platform servicesof development and maintenance of web applications with a focus on frontend development using angularwrite robust backend code in c to support web application functionalities
please share your resume if you are interested to rg00790707techmahindracom",201
202,202,engineer i,american express,"you lead the way weve got your back

with the right backing people and businesses have the power to progress in incredible ways when you join team amex you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers communities and each other here youll learn and grow as we help you create a career journey thats unique and meaningful to you with benefits programs and flexibility that support you personally and professionally

at american express youll be recognized for your contributions leadership and impactevery colleague has the opportunity to share in the companys success together well win as a team striving to uphold our company values and powerful backing promise to provide the worlds best customer experience every day and well do it with the utmost integrity and in an environment where everyone is seen heard and feels like they belong

join team amex and lets lead the way together

how will you make an impact in this role

from building nextgeneration apps and microservices in kotlin to using ai to help protect our customers from fraud you could be doing transformational work that brings our iconic global brand into the future as a part of our tech team we could work together to bring groundbreaking and diverse ideas to life that power the digital systems services products and platforms that millions of customers around the world depend on if you love to work with apis contribute to open source or use the latest technologies well support you with an open environment and learning culture to grow your career

focus

designs develops solves problems debugs evaluates modifies deploys and documents software and systems that meet the needs of customerfacing applications business applications andor internal end user applications

qualifications

btech  be  mtech  ms in computer science or relevant discipline3 years of experience in design and development of highly scalable applications and platform developmentextensive handson experience building services using these technologies java spring boot microservicesin depth knowledge and handson working experience on restful web servicesgood knowledge in messaging systems kafkarabbitmqworking knowledge of sql and nosql database technologiesknowledge on unit testing frameworks junit jest spock etc and code quality control platforms like sonarcicd development environmentstools git maven gradle docker kubernetes jenkins azure devopswellversed with logging and metrics tools and technologies elksplunkgrafanastrong handson development skills to prototype technical solutionsstrong desire to drive change and ability to adapt to change quickly willing to learn new and emerging technologiesgood communication and interpersonal skills 

we back our colleagues and their loved ones with benefits and programs that support their holistic wellbeing that means we prioritize their physical financial and mental health through each stage of life benefits include

competitive base salaries bonus incentives support for financialwellbeing and retirement comprehensive medical dental vision life insurance and disability benefits depending on location flexible working model with hybrid onsite or virtual arrangements depending on role and business need generous paid parental leave policies depending on your location free access to global onsite wellness centers staffed with nurses and doctors depending on location free and confidential counseling support through our healthy minds program career development and training opportunities

american express is an equal opportunity employer and makes employment decisions without regard to race color religion sex sexual orientation gender identity national origin veteran status disability status age or any other status protected by law

offer of employment with american express is conditioned upon the successful completion of a background verification check subject to applicable laws and regulations",202
203,203,brand compliance associate,npci bharat billpay ltd,"about npci bharat billpay
the bharat bill payment system is a reserve bank of india rbi conceptualized system driven by national payments corporation of india npci it is a onestop ecosystem for payment of all bills providing an interoperable and accessible anytime anywhere bill payment service to all customers across india with certainty reliability and safety of transactionsbharat billpay  the one stop destination for all recurring payment we offer you to join our esteemed organization  be part of npcis vision  to be the best payments network globally mission  touching every indian with one or other payments serviceswe are seeking a dedicated and detailoriented brand compliance associate to join our team and ensure adherence to brand guidelines and regulations
job title brand compliance associatejob type permanent fulltimelocation goregaon mumbaifunction marketingbusiness npci bharat billpay limitedexperience 02 years immediate joinersqualification graduatepost graduation in business administration or marketing fulltime
job description bharat billpay brand partner guidelines and ensure its implementation  compliance across bharat billpay enabled fintech and banking frontend platformsand approve external front end screens to ensure they adhere to brand guideline and identify deviations from brand standardsbrand compliance issues and recommend corrective actions as neededsure of proper implementation of brand guidelines in the frontend screens received to maintain consistency in messaging visual identity and brand voiceas the primary point of contact for internal and external stakeholders seeking guidance on brandrelated inquiries and issues in a timely manner and professional mannerclosely with the business relationship managers marketing and compliance team to ensure alignment with brand strategy and objectivesmarketing team during its campaign planning  events consumer and product awareness campaigns incentive programs etc
primary skills
understanding of business and marketing fundamentalsanalytical mindset with a focus on market research and customerclient centric approacheffective communication and interpersonal skills for engaging with both internal and external stakeholdersability to analyze data and solve problems using a datadriven approachpassionate about networking and having strong negotiating skills",203
204,204,program manager,tech mahindra,"job title agile program manager
experience 10 yrslocation powai mumbai and techm mumbaibudget 25 lpa as ctcnotice period 30 days maxedu qualifcation bebtechmtechmcamsc itmsc cs
key requirements 
 experienced on agile methologies and managing agile teams proven experience as a program manager or other managerial position excellent communication skills  problemsolving ability customer  stakeholder experience leadership and organizational skills technical  development background experience should be aware about application  product development thorough understanding of projectprogram management techniques and methods knowledge of ms office working knowledge of programproject management software  resource recruitment  management people management and team handling performance evaluation candidate should be bebtechmtechmcamsc itmsc cs work from customer office in powai mumbai and techm mumbai job description   interface and engage with customers ensuring current project tracking and forecast needs are met or issues that may arise and devise ways to address those proactively ensure overall program delivery is within the budget up to the quality standards and as per the program delivery timelines to manage complex customer projects from design and development to production with end to end delivery responsibility ensuring delivery excellence and customer delight create and maintain program level dashboards to enable effective project management ensure overall program lifecycle deployment by defining resources and schedules for program implementation influence customer perception positively and contribute to relationship management and drive account farming oversee the launch of multiple projects from concept to delivery aligning with various stakeholders and communicating effectively with multi country multi culture teams provide overall management guidance to the team promote team work motivate mentor develop subordinates and manage any conflicts within the teams build mechanisms for individuals and teams to innovate and reward such actions on an ongoing basis ensure complete contract management including profitability and other parameters across multiple projects support and cultivate a culture of completing documentation and reviews particularly the ongoing and post project knowledge management related actions play the role of the mentor and coach to the team sometimes working with many levels down to both assess and develop their technicalprofessional capabilities",204
205,205,data scientist pune,amdocs,"job id 188069

required travel  minimal

 managerial  no 

location india pune amdocs site

who are we

amdocs helps those who build the future to make it amazing with our marketleading portfolio of software products and services we unlock our customers innovative potential empowering them to provide nextgeneration communication and media experiences for both the individual end user and enterprise customers our approximately 30000 employees around the globe are here to accelerate service providers migration to the cloud enable them to differentiate in the 5g era and digitalize and automate their operations listed on the nasdaq global select market amdocs had revenue of 489 billion in fiscal 2023

in one sentence

this is a handson position for a motivated and talented innovator the data scientist performs data mining and develops algorithms that provide insight from data

what will your job look like

machine learning engineer job description

development and maintenance of productionready mlpowered software

 develop mlpowered solutions application components

11 data pipeline

12 code optimization incl all relevant integration points

13 packaging

14 installation scripts

15 configuration items

 map and evaluate mlops gaps in the solution develop solutions when required ctcm

21 model monitoring datamodel drift

22 model scheduling

23 model versioning

24 solution scaling

25 code refactoring

 support mlpowered solutions implementations

31 model tuning modifications and enhancements following user feedback

32 quantitive value realization

33 collect requirements from the field

 genai knowledge and practical experience lead solution architecture activities and finalize with designated solution architect when applicable develop preproduction evaluation services lead application testing ut st ft nft efforts design and support the solutions cicd pipeline including embedded automated tests extend and introduce new mlml ops tools libraries and frameworks research and implement ml algorithms and tools

all you need is

relevant experience required 26 yearsproficient in python programming language ability to write robust codesolid software engineering skills  familiarity with the agile methodology modern approaches containerization and container orchestration cicd pipelinesfamiliarity with the python data science stack  eg scikitlearn pandas tensorflow  keras  pytorchhands on experience working on unixlinux environmentshands on experience with building e2e ml pipeline  business understanding eda data preparation modeling and evaluationexperience with azure  significant advantagedeep knowledge of math probability statistics and algorithms  advantageexperience with large languagemultimodal models  advantageoutstanding analytical and problemsolving skillsteam playercustomer facingautodidact

why you will love this job

you will ensure timely resolution or critical issue within the agreed sla this includes creating a positive customer support experience and build strong relationships through problem understanding presenting promptly on progress and handling customers with a professional demeanouryou will be able to demonstrates an understanding of key business drivers and ensures strategic directions are followed and the organization succeedswe are a dynamic multicultural organization that constantly innovates and empowers our employees to grow our people our passionate daring and phenomenal teammates that stand by each other with a dedication to creating a diverse inclusive workplacewe offer a wide range of stellar benefits including health dental vision and life insurance as well as paid time off sick time and parental leave

 amdocs is an equal opportunity employer we welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce",205
206,206,senior qa automation lead,jio platforms limited jpl,"jio ads platform serves text image video and other formats of advertisements on huge network of publishers the inhouse built ads platform is a highly scalable to robust platform that is evolving with unique features using cutting edge technology stack 
skillstest automation cicd test pyramids test strategies test plan test estimationprogramming language  java python c shell scripttools selenium cypress playwright appium postman newman gatling jmeter
experience required 12 years of experience in testing with most of the experience includes automation using automation frameworks and tools
minimum qualification required bachelors degree preferably in computer science or equivalent hands on experience on at least two scripting  programming language relevant for qa automation
roles  responsibilities the role expects to lead endtoend automation of the jioads platform to ensure that features that rolls out to market are certified for quality assurance and platform serves our clients and partners with a well built cicd pipeline",206
207,207,solr database administrator,jio platforms limited jpl,"experience  3  6 years
job location  mumbai  pune  bangalore  delhi

1 plan coordinate model design implement and administer the solardb database management system  dbms2 design develop and architect solar dbms3 establish and maintain solar db dbms performance4 investigate and resolve intricate difficult and complex solar db dbms issues5 establish and maintain security and integrity controls formulate perform and monitor back up strategy and disaster recovery6 ability to multitask and contextswitch effectively between different activities and teams7 provide 24x7 support for critical production systems8 experience working with unix linux server9 excellent written and verbal communication10 ability to organize and plan work independently11 ability to work in a rapidly changing environment",207
209,209,data scientist,colan infotech private limited,"greetings from colan infotech pvt ltd

designation  data scientist

experience 2 years

salary  as per market standard

job location  chennai

notice period  immediate to 30 days

required skills

minimum 34 years experience in data science development

custom object detection

web scraping

deep learning

mldl data pipeline creation

chatbot

time serious

ocr computer vision

nlp

statistics

proficient in llm

interested candidates send your updated resume to layeeqahmedcolanonlinecom",209
210,210,production engineer,idfc first bank,"role job title production engineer l2 sfdc

function department information technology

job purpose

the role entails the responsibility of providing production support to banks software applications sfdc sales and service cloud it includes administering and resolving day to day production applications issues providing updates and perform root cause analysis

roles  responsibilities

minimum 3 to 5 years of relevant experience on sfdc sales and service cloud should have good experience in trouble shooting the issue and getting the rcaneed to have production support knowledgeservice now or any other relevant ticketing tool experienceshould have storing verbal and written communicationshould have analyzing and decisionmaking skillsassist thirdparty developers to troubleshoot their integration with salesforcecom apis apex visualforce and implementation of other salesforcecom developer products this will involve debugging troubleshooting and taking responsibility to see that the issue is fully resolvedresolve customer service issues and skillfully manage complex customer service problems manage customers expectations and experience in a way that results in high customer satisfaction


technical skill set

fair knowledge on oracle database sql plsql java web server app serversystem understanding and hands on experience on application supportinvolves in planning and integrating the business continuity functions of business unitshandling application audits either internal or externalresponsible for availability migrations and capacity maintenance  upgrades of applicationhandle mandatory monthlyquarterly patching


qualification bachelor of technology b tech  bachelor of science b sc  master of science m sc master of technology m tech  bachelor of computer applications bca  master of computer applications mca

experience 2 to 5 years of experience in production support and 1 year of relevant experience in sfdc sales and service cloud",210
211,211,relationship manager,yes bank,"core responsibilities
relationship management managing the banking and investments relationship of yes first clients and responsible for overall growth of liabilities  investment business from hni segmentdevelop manage and expand yes first customer relationships by providing service level which exceeds client expectations of most important customer segmentidentify current and potential relationship with additional revenue potential and grow businessgenerating incremental businesssales targets spread across liabilities retail assets business banking forex cards investments etcproactively sell the full range of consumer and commercial product to current and potential yes first hni relationshipsincrease casa balance in allocated portfolio either through deepening or acquisitiondriving higher product and channel penetration to deepen mapped relationships and to increase wallet share with yes bankcustomer engagementensuring portfolio quality by regularly engaging with each mapped relationship and maintaining the desired relationship valuesface to the client and first person responsible for service and sales satisfaction of mapped clientsinvestment advisoryfinancial planning and investment advisory to hni clientsdriving revenue business to generate fee income through products like mutual funds investments and insuranceprocess and auditensure all sales activity is recorded online as per the organizational processcapture and maximize the business opportunity through detailed client profiling as per organizational process
selfmanagement responsibilities
performance goals at the start of the year in discussion with the reporting manager and ensures that the goals are monitored and achieved during the course of the yearownership of hisher own learning agenda by identifying development needs in consultation with the reporting manager and working towards bridging the gaps through various means which go beyond just trainingthe competencies relevant to hisher role and works towards displaying as well as developing these effectivelyabreast of relevant professionalindustry developments new techniques and current issues through continued education and professional networksrisk and internal control responsibilitiesrisk policy and processes to mitigate the operational regulatory financial informational reputational and audit risks as instructed by the departmental managerthe established internal control systems and compiles relevant information for departmental audits as necessary
section iii knowledge  experienceminimum qualificationsdegreedegree is preferredyears of experiencea minimum of 4 years of relevant experience with at least 2 years in a similar role",211
212,212,mediation developer,jio platforms limited jpl,mediation  active and passive  developer   relevant experience  25 yrs  role  development  unit test case creation  unit testing  technical skills tools and domain  digital routr mediation zone  realtime batch  soapui groovypostman  scripting  python  azure devops release management  git  following is optional but has extra advantage  digitalroute mediationzone  product knowledge and dtk knowledge  java,212
213,213,business analyst,eli lilly and company,"at lilly we unite caring with discovery to make life better for people around the world we are a global healthcare leader headquartered in indianapolis indiana our employees around the world work to discover and bring lifechanging medicines to those who need them improve the understanding and management of disease and give back to our communities through philanthropy and volunteerism we give our best effort to our work and we put people first were looking for people who are determined to make life better for people around the world

job summary 


at lilly we unite caring with discovery to make life better for people around the world we are a global healthcare leader headquartered in indianapolis indiana our 39000 employees work to discover and bring lifechanging medicines to those who need them improve the understanding and management of disease and give back to our communities through philanthropy and volunteerism we give our best effort to our work and we put people first were looking for people who are determined to make life better for people around the globe

echlilly is a global organization strategically positioned so that through information and technology leadership and solutions we create meaningful connections and remarkable experiences so people feel genuinely cared for the techlilly organization is accountable for designing developing and supporting commercial or customer engagement services and capabilities that span multiple business units biomedicines diabetes oncology international functions geographies and digital channels the areas supported by techlilly includes customer operations marketing and commercial operations medical affairs market research pricing reimbursement and access customer support programs digital production and distribution global patient outcomes and realworld evidence

responsibilities

understand what the business does how they work business processes which systems they use which goals they want to achieve and which systems they use to evaluate whether these goals have been achieved work with business partners to understand their needs and assess whether there is a standard platformsystem that meets these needs or whether they are going into untestedunproven terrain explain to business partners what is possible on a given platform collaborate with business partners to identify and define high level business requirements epics user stories and test cases and effectively communicate them to software vendors developers and testers collaborate with internal teams that include architecture platform owners subject matter experts and quality to turn high level business requirements into technical requirements user epics user stories and designs help business partners prepare for system deployment ocm assess end users training needs and understand what is needed for good system adoption and identify and promote best practices closely collaborate with different project key stakeholders and ensure a smooth deployment and transition to service management as part of the solution deployment ensure the project moves through the different stages of the software development lifecycle until the it asset has been delivered ensure that incident problem configuration and changerelease management are all done with alignment and understanding of business need understand which systems support which business processes to connect the dots and build integrations between platforms while discussing with platform owners take or support initiatives that increase platform adoption and drive reuse eg templates standard workflows standard reports etc identify opportunities to improve efficiency of current services and drive the implementation of these improvements manage external service providers throughout system development testing and deployment help business requester understand user experience during design and development of systems 


required skills and qualifications

58 years of over it experience 34 years of experience as business analyst work with and coordinate between multiple internal it functions and external suppliers virtually and across different geographies experience in coordinating it projects understanding of the software development life cycle sdlc proficient on data analysis and management and related ecosystem apis connectivity processes flows proficient in sql basic understanding of cloud environment experience working with business partners in multiple affiliates experience with agile andor safe strong business analysis skillset related to it solution portfolio and  or prior experience within it business integration good learning ability regarding technologies and business processes demonstrated interpersonal skills collaboration and teamwork strong communication written and verbal selfmotivated to prioritise and complete multiple tasks without direct supervision ability to quickly adapt to changing circumstances priorities familiar with good system security and privacy practices experienced leading and managing external service providers experience of working within remote teams effective analytical problem solving and investigative skills ability to collaborate with technical and nontechnical business partners ability to communicate technical aspects to nontechnical business partners in their language ability to resolve issues across geographical and cultural boundaries 


eli lilly and company lilly usa llc and our wholly owned subsidiaries collectively lilly are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs if you require an accommodation to submit a resume for positions at lilly please email lilly human resources  lillyrecruitingcompliancelistslillycom  for further assistance please note this email address is intended for use only to request an accommodation as part of the application process any other correspondence will not receive a response

lilly does not discriminate on the basis of age race color religion gender sexual orientation gender identity gender expression national origin protected veteran status disability or any other legally protected status

wearelilly",213
